"","Data","Estado","soma_suspeitos","soma_negativos","soma_positivos"
"1",2020-01-30,"Ceará",1,0,0
"2",2020-01-30,"Minas Gerais",1,0,0
"3",2020-01-30,"Paraná",1,1,0
"4",2020-01-30,"Rio de Janeiro",1,0,0
"5",2020-01-30,"Rio Grande do Sul",2,2,0
"6",2020-01-30,"Santa Catarina",0,2,0
"7",2020-01-30,"São Paulo",3,1,0
"8",2020-01-31,"Ceará",1,0,0
"9",2020-01-31,"Minas Gerais",1,0,0
"10",2020-01-31,"Paraná",1,1,0
"11",2020-01-31,"Rio de Janeiro",0,1,0
"12",2020-01-31,"Rio Grande do Sul",2,3,0
"13",2020-01-31,"Santa Catarina",1,2,0
"14",2020-01-31,"São Paulo",7,2,0
"15",2020-02-01,"Ceará",1,0,0
"16",2020-02-01,"Minas Gerais",0,1,0
"17",2020-02-01,"Paraná",1,1,0
"18",2020-02-01,"Rio de Janeiro",0,1,0
"19",2020-02-01,"Rio Grande do Sul",4,3,0
"20",2020-02-01,"Santa Catarina",2,2,0
"21",2020-02-01,"São Paulo",8,2,0
"22",2020-02-02,"Ceará",1,0,0
"23",2020-02-02,"Minas Gerais",0,1,0
"24",2020-02-02,"Paraná",1,1,0
"25",2020-02-02,"Rio de Janeiro",0,1,0
"26",2020-02-02,"Rio Grande do Sul",4,3,0
"27",2020-02-02,"Santa Catarina",2,2,0
"28",2020-02-02,"São Paulo",8,2,0
"29",2020-02-03,"Ceará",0,1,0
"30",2020-02-03,"Minas Gerais",0,1,0
"31",2020-02-03,"Paraná",0,2,0
"32",2020-02-03,"Rio de Janeiro",1,1,0
"33",2020-02-03,"Rio Grande do Sul",4,3,0
"34",2020-02-03,"Santa Catarina",2,2,0
"35",2020-02-03,"São Paulo",7,3,0
"36",2020-02-04,"Ceará",0,1,0
"37",2020-02-04,"Minas Gerais",0,1,0
"38",2020-02-04,"Paraná",0,2,0
"39",2020-02-04,"Rio de Janeiro",1,2,0
"40",2020-02-04,"Rio Grande do Sul",4,3,0
"41",2020-02-04,"Santa Catarina",2,2,0
"42",2020-02-04,"São Paulo",6,5,0
"43",2020-02-05,"Ceará",0,1,0
"44",2020-02-05,"Minas Gerais",0,1,0
"45",2020-02-05,"Paraná",0,2,0
"46",2020-02-05,"Rio de Janeiro",1,2,0
"47",2020-02-05,"Rio Grande do Sul",5,3,0
"48",2020-02-05,"Santa Catarina",1,3,0
"49",2020-02-05,"São Paulo",4,9,0
"50",2020-02-06,"Ceará",0,2,0
"51",2020-02-06,"Minas Gerais",2,2,0
"52",2020-02-06,"Paraná",0,4,0
"53",2020-02-06,"Rio de Janeiro",2,4,0
"54",2020-02-06,"Rio Grande do Sul",6,10,0
"55",2020-02-06,"Santa Catarina",2,6,0
"56",2020-02-06,"São Paulo",6,20,0
"57",2020-02-07,"Ceará",0,1,0
"58",2020-02-07,"Minas Gerais",1,1,0
"59",2020-02-07,"Paraná",0,2,0
"60",2020-02-07,"Rio de Janeiro",1,2,0
"61",2020-02-07,"Rio Grande do Sul",2,6,0
"62",2020-02-07,"Santa Catarina",1,3,0
"63",2020-02-07,"São Paulo",3,11,0
"64",2020-02-08,"Ceará",0,1,0
